,T2-15,W2,Kc,T_max,T_min,RH_min,RH_max,Rn,U2,P,Ri_f
4,18.0,0,0.5,31.9,24.7,60.0,89.0,1.4548908459999998,13.23,99.91833333,0.0
5,21.0,0,0.5,32.5,25.7,54.0,83.0,1.856653846,14.7,99.9875,0.0
10,24.0,0,0.5,33.7,24.6,46.0,84.0,1.8142470000000002,11.67,99.99666667,0.0
11,27.0,0,0.5,33.6,26.3,52.0,84.0,1.119323308,11.16,99.93416667,1.6
12,30.0,0,0.5,34.3,25.4,47.0,81.0,1.690802385,13.02,99.86666667,0.0
13,30.0,0,0.5,34.8,26.3,43.0,86.0,1.839167385,16.32,99.84833333,0.0
14,32.0,0,0.5,32.8,22.9,58.0,92.0,1.199995154,13.545,99.95125,5.4
15,31.0,0,0.5,32.0,22.9,57.0,91.0,1.712529538,13.425,99.92291667,0.0
16,10.0,0,0.5,32.1,26.1,58.0,87.0,1.3692885380000002,15.81,99.80375,0.0
17,2.0,0,0.5,28.7,24.1,65.0,88.0,0.706295923,15.225,99.97791667,0.0
18,21.0,0,0.5,32.5,23.6,55.0,90.0,1.7906970000000002,11.535,99.91416667,5.2
19,13.0,0,0.5,33.0,24.6,59.0,91.0,1.538406462,14.295,99.86666667,7.3
20,18.0,0,0.5,31.9,25.9,63.0,88.0,1.0520577690000001,15.84,99.83583333,0.0
21,27.0,0,0.5,33.6,26.1,52.0,84.0,1.7864059230000002,14.805,99.91958333,0.0
22,23.0,0,0.5,34.3,26.1,47.0,80.0,1.930469231,16.29,99.8925,0.0
23,21.0,0,0.5,34.0,24.7,55.0,89.0,1.494364923,14.85,99.945,0.0
24,20.0,0,0.5,33.6,24.8,52.0,82.0,1.762883846,14.925,99.92833333,0.0
25,33.0,0,0.5,35.4,26.5,41.0,81.0,1.7245743080000002,14.025,99.91125,0.0
26,32.0,0,0.5,34.3,23.7,51.0,94.0,1.160994385,11.115,99.92458333,0.0
27,30.0,0,0.5,31.9,25.9,63.0,89.0,1.203928385,11.835,99.91666667,3.0
28,34.0,0,0.5,31.9,24.7,59.0,89.0,1.263607231,12.57,99.96125,0.0
38,26.0,0,0.5,33.2,25.3,49.0,84.0,1.8986301540000001,11.46,99.99291667,0.0
39,18.0,0,0.5,32.7,24.2,53.0,92.0,1.5684943080000002,12.825,99.90791667,28.0
46,12.0,0,0.5,30.3,24.5,71.0,92.0,0.851162538,5.595,99.96,21.3
48,18.0,0,0.5,32.2,23.1,63.0,94.0,1.068640692,6.975,99.96333333,3.7
49,10.0,0,0.5,31.0,24.1,66.0,92.0,0.9446807690000001,10.995,99.85166667,16.0
50,29.0,0,0.5,32.1,26.0,47.0,83.0,1.660798615,14.595,99.87458333,15.1
51,25.0,0,0.5,32.1,25.1,51.0,81.0,1.6659202309999999,12.6,99.925,0.0
52,23.0,0,0.5,32.7,25.3,54.0,88.0,1.630754714,12.525,99.9575,1.1
53,27.0,0,0.5,32.9,26.0,48.0,78.0,1.877775615,13.155,99.97125,0.0
54,22.0,0,0.5,30.7,24.7,61.0,91.0,1.187037231,17.79,99.94916667,1.4
55,25.0,0,0.5,32.4,26.1,53.0,79.0,1.880013538,18.57,99.87708333,0.0
56,30.0,0,0.5,32.8,26.1,50.0,79.0,1.868576231,14.625,99.85333333,0.0
58,25.0,0,0.5,32.1,25.7,55.0,80.0,1.7813429230000002,14.82,99.74416667,0.0
59,25.0,0,0.5,31.5,26.5,58.0,81.0,1.372264154,14.835,99.80541667,0.0
60,29.0,0,0.5,32.7,25.8,55.0,82.0,1.902906077,14.625,99.915,0.0
61,30.0,0,0.5,32.5,25.7,44.0,81.0,1.8728481540000002,18.675,99.88375,6.8
62,25.0,0,0.5,32.4,25.6,56.0,85.0,1.609745769,19.215,99.85916667,0.0
68,17.0,0,0.5,30.6,25.8,66.0,84.0,0.980223,14.46,99.99208333,15.7
83,30.0,0,0.5,32.4,25.4,56.0,89.0,1.168426846,12.72,99.94916667,0.0
84,30.0,0,0.5,34.4,25.0,46.0,87.0,1.5191643080000001,13.155,99.92583333,0.0
85,30.0,0,0.5,35.2,26.0,43.0,81.0,1.6224227690000002,14.07,99.96666667,0.0
116,38.0,0,0.5,36.5,25.1,26.0,78.0,1.740606154,14.82,99.94583333,0.0
169,34.0,0,0.5,35.3,25.2,28.0,77.0,1.782447462,18.99,99.98375,0.0
170,34.0,0,0.5,34.8,25.3,32.0,77.0,1.7110014619999998,20.88,99.98583333,0.0
171,35.0,0,0.5,36.5,25.1,26.0,72.0,1.930032615,23.16,99.9525,0.0
172,34.0,0,0.5,36.3,25.0,28.0,76.0,1.5413478459999999,19.83,99.87125,0.0
173,36.0,0,0.5,38.6,25.2,24.0,73.0,2.011706923,16.125,99.78583333,0.0
174,32.0,0,0.5,35.2,25.4,33.0,76.0,1.3600794619999999,15.78,99.77375,0.0
175,34.0,0,0.5,34.9,25.0,36.0,79.0,1.6102112309999999,17.43,99.80125,0.0
176,36.0,0,0.5,36.3,25.1,25.0,74.0,1.930161385,20.715,99.99125,0.0
177,38.0,0,0.5,37.4,25.0,19.0,71.0,2.012502538,20.415,99.88708333,0.0
180,32.0,0,0.5,37.8,25.2,20.0,72.0,2.0312360000000003,23.715,99.96333333,0.0
182,32.0,0,0.5,37.4,25.5,29.0,76.0,1.7434496919999998,18.93,99.89,0.0
183,34.0,0,0.5,34.2,25.5,41.0,77.0,1.576320846,20.025,99.86333333,0.0
184,34.0,0,0.5,34.9,24.8,33.0,84.0,1.377276385,21.24,99.85583333,0.0
185,50.0,0,0.5,35.5,25.4,32.0,78.0,1.637225154,22.275,99.97416667,0.0
186,55.0,0,0.5,36.7,25.3,27.0,75.0,1.776872231,18.615,99.84541667,0.0
187,66.0,0,0.5,37.2,25.5,28.0,74.0,1.885322615,22.41,99.7325,0.0
188,63.0,0,0.5,37.1,25.3,26.0,74.0,1.990510538,21.57,99.86041667,0.0
189,32.0,0,0.5,36.0,25.3,27.0,79.0,1.7394274619999999,22.02,99.91791667,0.0
192,60.0,5,0.5,36.2,25.8,30.0,72.0,1.8785500769999999,23.115,99.89166667,0.0
193,70.0,5,0.5,35.7,25.8,35.0,75.0,1.906313692,23.28,99.89166667,0.0
194,42.0,0,0.5,33.2,25.5,46.0,80.0,1.585209615,24.93,99.98416667,0.0
196,68.0,5,0.5,34.8,25.5,34.0,75.0,1.589340077,22.035,99.86916667,0.0
197,76.0,5,0.5,35.7,25.4,34.0,76.0,1.601646,19.395,99.62208333,0.0
198,32.0,0,0.5,34.8,25.4,41.0,79.0,1.4212164619999998,20.565,99.75833333,0.0
199,40.0,0,0.5,35.4,25.5,34.0,78.0,1.7149503080000001,21.345,99.77458333,0.0
200,50.0,0,0.5,35.2,25.4,36.0,76.0,1.449034692,19.755,99.63041667,0.0
201,82.0,5,0.5,35.6,25.3,33.0,78.0,1.7486906919999998,19.56,99.85,0.0
202,40.0,0,0.5,35.8,25.4,33.0,76.0,1.904467231,18.66,99.97333333,0.0
203,46.0,0,0.5,37.6,25.7,29.0,75.0,1.8119186919999999,20.475,99.97333333,0.0
204,56.0,0,0.5,35.5,25.5,35.0,78.0,1.617156385,18.42,99.95333333,0.0
206,42.0,0,0.5,36.1,26.0,34.0,77.0,1.592850923,18.975,99.915,0.0
207,40.0,0,0.5,36.0,25.7,33.0,79.0,1.694291846,17.49,99.89833333,0.0
208,44.0,0,0.5,35.5,25.9,34.0,78.0,1.553621308,17.445,99.8825,0.0
209,58.0,0,0.5,34.5,25.9,40.0,79.0,1.533214923,19.485,99.78916667,0.0
210,70.0,5,0.5,33.1,26.0,41.0,76.0,1.099908769,19.02,99.85041667,0.0
211,26.0,0,0.5,34.2,24.7,35.0,81.0,1.214462154,17.25,99.94916667,0.0
212,37.0,0,0.5,32.6,25.4,41.0,77.0,1.0897477690000001,19.8,99.98458333,0.0
214,58.0,0,0.5,31.6,24.3,40.0,84.0,0.874070308,13.275,99.82625,0.0
215,70.0,5,0.5,35.7,26.0,29.0,79.0,1.3737519230000002,14.76,99.76375,0.0
216,35.0,0,0.5,33.5,26.0,44.0,79.0,0.956867692,16.965,99.72625,0.0
217,40.0,0,0.5,34.0,25.8,42.0,77.0,1.1929610000000002,19.53,99.71791667,0.0
218,40.0,0,0.5,36.8,26.2,29.0,76.0,1.743881385,20.07,99.69333333,0.0
219,40.0,0,0.5,34.5,25.8,39.0,81.0,1.2733860000000001,20.37,99.79625,0.0
220,43.0,0,0.5,36.3,26.3,34.0,78.0,1.518687308,19.215,99.86291667,0.0
221,43.0,0,0.5,36.0,25.6,32.0,76.0,1.664142692,20.1,99.88625,0.0
222,39.0,0,0.5,33.4,25.8,46.0,80.0,1.050398615,16.425,99.92375,0.0
223,44.0,0,0.5,35.4,25.9,34.0,80.0,1.379884308,16.635,99.88875,0.0
224,44.0,0,0.55,33.1,24.4,50.0,87.0,1.053016385,14.115,99.89583333,0.0
225,40.0,0,0.55,34.1,24.7,44.0,86.0,1.4653387690000002,19.635,99.94416667,2.4
226,46.0,0,0.55,35.9,26.0,35.0,79.0,1.594140615,19.29,99.89791667,0.0
227,50.0,0,0.55,35.9,26.3,33.0,77.0,1.666522846,18.48,99.85291667,0.0
228,30.0,0,0.55,33.2,24.9,47.0,80.0,1.313540154,14.01,99.90625,0.0
229,37.0,0,0.55,33.9,24.8,45.0,85.0,1.283273077,17.175,99.84,2.2
230,28.0,0,0.55,27.2,24.1,71.0,89.0,0.488552769,14.85,99.90916667,19.3
231,36.0,0,0.55,34.0,24.5,43.0,83.0,1.3564159230000001,13.56,99.83958333,0.0
232,39.0,0,0.55,35.0,25.3,36.0,78.0,1.8038019230000002,16.17,99.77166667,0.0
233,42.0,0,0.55,34.2,25.5,42.0,80.0,1.7214468459999999,16.11,99.77458333,0.4
234,45.0,0,0.55,35.7,25.5,34.0,81.0,1.8150585380000002,18.735,99.79458333,0.0
235,40.0,0,0.55,29.9,24.5,63.0,87.0,0.755987923,11.76,99.80458333,17.5
236,30.0,0,0.55,32.4,24.2,53.0,90.0,1.368964846,11.835,99.875,6.2
238,39.0,0,0.55,33.0,25.2,50.0,85.0,1.452979231,16.86,99.92958333,0.0
239,40.0,0,0.55,34.0,25.6,45.0,83.0,1.844153462,18.99,99.96458333,0.0
243,42.0,0,0.55,31.8,23.4,58.0,90.0,1.255865,17.01,99.98583333,9.5
244,42.0,0,0.55,33.3,25.6,50.0,84.0,1.661294077,18.495,99.84541667,0.0
245,46.0,0,0.55,33.5,26.1,48.0,78.0,1.546403538,16.965,99.80791667,0.0
246,42.0,0,0.55,34.2,26.1,43.0,85.0,1.767176462,16.65,99.79708333,0.0
247,40.0,0,0.55,31.4,24.2,62.0,89.0,1.342338385,12.015,99.84875,0.0
248,48.0,0,0.55,31.5,24.4,60.0,89.0,1.1310787690000002,9.33,99.8675,0.0
249,48.0,0,0.55,30.0,24.3,68.0,90.0,0.724284143,8.595,99.81708333,0.0
250,26.0,0,0.55,32.3,24.2,53.0,87.0,1.733284615,13.68,99.76708333,0.0
251,50.0,0,0.55,31.9,23.9,56.0,89.0,0.963853077,9.27,99.91416667,7.0
256,40.0,0,0.55,29.2,22.8,67.0,90.0,0.6740411540000001,11.385,99.96208333,5.2
257,42.0,0,0.55,32.8,25.0,47.0,88.0,1.890993538,15.15,99.89583333,0.0
258,42.0,0,0.55,32.7,25.5,48.0,80.0,1.8206627690000001,14.085,99.91875,0.0
260,38.0,0,0.55,31.4,22.4,60.0,91.0,1.3290918459999999,7.11,99.96083333,23.3
